Zak;SQM;Vacant
813152605;656,61;1
813152705;771,005;1
813152805;649,91;0
813152905;650,23;4
813154005;655,015;1
813154105;654,87;0
813154205;680,09;0
813154405;659,855;0
813154505;659,62;0
813154707;512,8;0
813154807;521,385;1
813154907;737,84;0
813155007;771,85;1
813155107;648,92;0
813155207;654,255;0
813155307;777,02;2
813155407;666,955;2
813155507;659,82;2
813155607;617,905;0
813155707;651,655;0
813155807;662,7;1
813155907;647,235;1
813156007;776,87;2
813156107;508,915;2
813156207;537,175;2
813156307;602,25;1
813157105;597,105;1
813157205;504,57;2
813157305;804,955;3
813157405;508,31;0
813157505;523,685;0
813157605;525,27;0
813157705;829,31;3
813157805;801,815;0
813157905;493,05;1
813158305;788,16;4
813158405;670,28;2
813158505;673,605;2
813158605;665,3;2
813158705;666,875;2
813158805;775,815;6
813158905;662,745;0
813159005;663,365;1
813241502;1419,295;1
813242207;1167,875;0
813242307;1433,115;1
813242807;1030,325;0
813242907;1032,05;2
813243007;1185,95;3
813243107;1189,065;2
813243207;1048,386;2
813243307;1441,735;3
813244207;1390,41;1
813244307;1511,17;4
813244607;1172,545;0
813244707;1454,61;1
813245107;3797,425;4
813245207;2255,035;1
813245307;2246,405;3
813245407;2246,72;0
814098201;447,23;2
814098301;454,73;1
814098401;463,26;3
814098501;474,78;3
814108403;431,48;2
814108503;437,425;2
814108603;465,925;2
814108703;457,36;1
814108803;444,65;0
814108903;457,365;3
814109003;460,22;5
814109103;473,15;5
814109203;461,775;3
814109303;457,205;3
814109403;458,75;4
814109503;448,25;2
814109603;581,03;4
814109703;598,63;0
814109803;580,31;1
814109903;588,44;3
814110003;587,79;2
814110103;578,3;1
814110203;596,14;4
814110303;573,715;6
814110403;623,19;3
814110503;574,15;3
814110603;606,46;5
814110703;605,11;7
814110803;605,01;6
814110903;611,86;6
814111003;598,71;5
814111301;577,09;1
814111401;608,2;1
814111501;603,55;6
814111601;601,34;1
814111701;596,94;9
814111801;578,27;2
814111901;586,155;0
814112001;630,96;4
814112101;582,17;4
814112201;598,855;3
814112301;595,62;5
814112401;584,555;1
814112501;514,29;2
814112601;606,06;4
814112701;619,36;5
814112801;608,96;6
814112901;593,07;4
814113001;589,99;5
814113103;326,09;1
814113203;389,92;1
814113303;342,295;3
814113403;388,225;1
814113503;397,61;4
814113603;387,19;2
814113703;389,95;1
814113803;399,84;1
814113903;385,81;1
814114003;394,215;2
814114103;395,68;2
814114203;389,31;1
814114303;390,715;1
814114403;396,5;2
814114503;390,28;1
814114603;388,2;2
814114703;394,875;3
814114803;397,72;1
814124002;407,73;8
814124102;401,42;8
814124302;412,27;8
814124402;412,18;8
814124502;416,56;8
814124602;405,17;8
814124702;400,97;8
814125502;413,46;7
814125602;419,76;5
814125702;407,41;7
814125802;398,86;8
814125902;405,37;6
814126002;405,42;7
814126102;400,57;6
814126202;416,32;7
814126302;408,02;6
814126402;415,82;5
814135703;472,38;2
814135803;478,23;2
814135903;470,38;2
