Zak;SQM;Vacant
822095913;363,55;1
822096013;346,64;1
822096113;418,24;0
822133214;261,96;0
822991815;3792,255;1
822991915;3800,905;1
822992015;3824,855;1
822992215;2255,74;0
822992315;1176,07;0
822992415;1165,17;0
822992515;805,48;1
823003816;329,46;0
823008416;394,52;0
823008516;391,41;1
823019316;224,63;0
823019916;232,97;0
823020716;315,2;0
823027016;254,68;0
823027911;217,92;0
823029616;239,99;1
823029814;284,55;0
823030716;568,77;6
823031114;349,19;4
823033316;160,08;1
823033616;148,38;0
823033916;181,65;0
823034016;154,74;0
823034116;157,53;0
823034216;172,3;0
823034316;156,29;0
823034416;177,64;0
823034516;134,66;0
823034716;165,01;0
823035016;141,49;0
823037716;125,02;0
823037816;159;0
823037916;189,69;0
823038016;149,45;0
823038116;155,52;1
823038216;181,55;0
823038316;163,55;0
823038416;145,11;1
823038516;136,6;0
823038616;164,57;0
823038716;139,74;0
823038816;154,05;0
823038916;172,08;0
823039016;154,3;0
823039116;158,15;0
823039216;173,84;0
823039316;154,09;0
823039416;112,91;0
823040416;374,39;1
823041614;215,67;1
823041714;358,47;0
823042811;92,12;0
823042911;92,12;1
823043514;183,6;0
823043616;230,98;0
823053216;137,75;3
823053714;198,16;0
823053814;180,98;0
823054014;180,18;0
823054114;220,18;0
823054816;259,7;1
823054916;251,3;0
823055116;364,85;3
823055216;245,6;0
823057316;141,3;1
823057511;190,21;0
823057611;219,15;0
823057711;225,97;0
823057811;166,93;0
823057911;194,45;0
823060311;211,32;0
823060411;186,61;0
823060511;243,45;0
823060611;233,81;0
823060711;166,05;0
823060811;200,87;0
823062911;215,16;0
823063011;200,7;0
823063111;221,26;0
823063211;237,56;0
823063311;237,93;0
823063411;227,79;0
823063814;60,14;0
823066716;159,65;0
823066816;152,5;0
823066916;139,6;0
823067111;228,54;0
823067211;186,12;0
823067311;192,66;1
823067411;218,93;0
823067511;227,04;0
823067916;515,6;8
823068016;335,78;5
823068216;241,58;4
823068316;443,2;7
823068416;238,08;4
823068516;245,68;4
823068616;235,96;4
823068716;346,48;5
823069116;329;5
823069316;351,97;6
823070116;435,11;0
823070516;137,89;0
823072016;499,11;2
823072116;260,4;0
823072216;290,2;1
823073214;274,5;0
823073416;397,8;7
823073911;405,2;4
823074314;274,22;0
823074611;249,84;0
823075216;186;0
823075314;405,05;0
823075711;351;0
823075916;424,3;2
823076116;410;6
823076216;422,2;6
823079411;353,31;2
823079611;270,8;0
823079816;405,97;7
823079916;349,2;5
823080016;407,52;8
823080116;436,65;6
823082811;257,4;3
823083116;392,1;7
823083316;425,49;6
823084816;527,275;0
823084916;471,2;2
823085016;502,525;3
823085116;510,945;0
823085216;353,57;2
823087516;516,08;1
823087616;59,33;0
823090816;605,985;2
823093414;575,55;3
823110216;344,2;0
823110316;339,96;0
823110416;345;0
823110516;344,6;0
823110616;351,1;0
823110716;344,1;0
823110816;357,3;1
823111114;270,96;0
823111214;273,77;0
823112616;108,8;0
823112716;108,8;0
823112816;108,8;0
823112916;108,8;0
823113016;108,8;0
823113116;108,8;0
823113216;108,8;0
823113316;114,8;0
823114614;110,8;0
823114814;110;0
823115114;110,8;0
823115214;103,8;0
823115314;110,8;0
823115414;55,4;0
823115514;110,8;0
823115814;110,8;0
823115914;110,8;0
823116014;110,8;0
823130516;110,4;0
823130616;117,4;0
823130716;117,4;0
823130816;58,7;0
823132014;105,9;0
823150216;61,14;0
823150316;61,14;0
823151816;125,8;0
823152016;116,25;0
823152116;94,8;0
823152716;417,45;0
823152816;416,93;1
823153216;410,5;2
823161614;905,12;0
823161714;931,38;0
823161814;925,71;0
823161914;938,06;0
823162014;923,98;0
823162114;905,68;1
823165716;622,57;0
823165816;618,78;0
823165916;622,92;0
830000123;390,67;0
830000223;459,215;1
830000323;888,015;1
830000423;444,11;1
830000523;450,795;0
830000623;434,565;0
830000723;444,21;0
830000823;447,495;0
830000923;558,51;0
830001023;498,86;1
830001123;609,24;1
830001223;767,63;1
830001323;597,6;0
830001423;518,19;0
830001523;556,565;0
830001623;418,77;0
830001723;635,635;1
830001821;578,845;1
830001921;399,275;0
830002021;555,715;0
830002121;519,645;0
830002221;486,425;1
830002421;581,695;0
830002521;517,625;0
830002621;662,72;0
830002721;543;1
830002821;666,38;1
830002921;425,455;1
830003021;436,175;0
830003121;659,04;0
830003221;433,86;1
830003321;449,705;0
830003421;437,785;1
830003521;439,015;1
830003623;601,25;0
830003723;825,175;0
830003823;786,575;0
830003923;573,825;1
830004023;437,97;2
830004123;442,265;0
830004223;439,71;0
830004323;455,98;0
830004423;670,41;1
830004523;428,685;0
830004623;326,835;0
830004723;481,085;0
830004823;524,265;0
830004923;535,17;2
830005023;530,255;0
830005123;511,05;0
830005223;507,945;3
830005323;451,795;0
830005423;542,725;3
830005523;542,615;2
830005623;480,255;0
830005723;506,025;0
830005823;442,76;0
830005923;444,56;0
830006023;498,215;0
830006123;611,41;0
830006223;443,41;0
830006323;518,95;0
830006423;523,25;0
830006523;497,965;0
830006623;533,615;1
830006723;501,95;1
830006823;504,2;0
830006923;619,04;0
830007023;451,295;0
830007123;524,95;0
830007223;521,03;1
830007323;491,27;0
830007423;566,7;1
830007523;489,755;0
830007621;444,835;1
830007721;438,405;0
830007821;763,585;0
830007921;453,16;1
830008021;538,14;0
830008121;1354,795;1
830008221;594,99;1
830008421;1244,51;3
830008521;442,775;0
830008920;490,655;0
830009020;517,17;0
830009120;543,365;0
830009220;435,075;0
830009320;558,13;1
830009420;662,425;0
830009520;544,075;0
830009620;482,01;0
830009720;482,64;0
830009820;517,78;0
830014220;495,14;0
830014320;490,915;2
830014420;414,635;0
830014520;671,01;1
830025823;418,335;0
830025923;428,16;0
830026023;833,615;2
830026123;546,545;2
830026223;431,425;2
830026323;447,315;0
830026423;503,09;1
830026523;379,975;0
830026623;583,585;1
830026723;529,315;0
830026823;377,335;1
830026923;414,51;0
830027023;416,08;0
830027123;378,805;0
830027224;431,69;1
830027324;523,56;0
830027424;436,66;0
830027524;680,925;1
830027624;1040,96;2
830027724;1059,14;0
830027824;1031,635;0
830030123;470,585;1
830030223;428,095;0
830030323;428,865;1
830030423;496,79;2
830030523;477,22;1
830030623;484,82;2
830030723;475,495;1
830030823;425,41;0
830030923;492,925;0
830031023;491,825;2
830031123;468,455;0
830031223;499,175;0
830031323;417,225;0
830031823;428,595;0
830032623;419,3;0
830042422;985,495;0
830042522;1547,87;3
830042622;1009,68;2
830042722;981,095;0
830042822;987,735;0
830042922;1767,7;2
830043022;987,545;0
830043122;997,855;1
830043221;1442,185;1
830043321;990,945;1
830077529;635,46;0
831029222;351,035;0
831033024;868,495;1
831033124;1313,045;0
831033224;1132,96;1
831033324;1208,705;0
831033424;1330,435;1
831033524;953,845;1
831033624;855,47;3
831033724;1076,95;0
831033824;980,725;0
831033924;809,815;0
831034024;851,525;1
831034124;965,36;1
831034224;1197,32;2
831034324;961,82;0
831034424;848,105;0
831034524;1547,375;3
831034624;1109,41;0
831034724;1216,935;1
831034824;1332,895;1
831034924;879,855;3
831035024;754,29;1
831035124;387,405;0
831035224;609,19;3
831035324;763,53;0
831035424;612,445;2
831035524;503,055;1
831035624;720,585;1
831035724;506,595;1
831035824;619,27;0
831035924;845,46;1
831036024;948,43;0
831036124;740,67;2
831036224;865,69;0
831036324;832,91;1
831036424;1352,43;0
831036524;1249,215;4
831036624;1070,07;1
831036724;976,93;0
831036824;930,835;0
831036924;827,195;0
831037024;1187,855;2
831037124;907,53;2
831037223;678,86;1
831037323;932,39;0
831037423;951,08;0
831037523;950,31;2
831037623;905,515;2
831037723;671,835;0
831037823;678,39;0
831037923;671,55;1
831038023;861,955;2
831038123;416,125;0
831038223;622,71;0
831038323;607,755;0
831038423;697,595;2
831038523;672,66;1
831038622;758,25;1
831038722;638,18;0
831038822;645,21;0
831038922;742,31;0
831039022;662,62;0
831039122;910,965;0
831039222;944,19;2
831039322;923,145;1
831039422;937,995;2
831039522;859,895;1
831039622;1024,635;2
831039722;684,515;0
831039822;943,35;0
831039922;949,005;0
831040022;877,31;3
831040122;691,45;0
831040222;660,75;2
831040324;915,285;0
831040424;1206,225;1
831040524;934,88;0
831040624;817,53;0
831040724;1069,91;1
831040824;1024,91;0
831040924;1223,035;0
831041024;1296,195;2
831041124;843,155;0
831044322;807,055;1
831044422;1567,245;2
831044522;845,575;0
831044622;832,975;2
831044722;841,14;0
831044822;1276,75;0
831044922;1177,565;1
831045522;1320,575;2
831045622;1306,645;0
831045722;815,005;0
831045822;785,195;0
831114122;497,99;0
831114222;548,76;1
832009920;390,57;0
832010020;408,87;0
832010120;401,32;1
832010220;406,495;0
832010320;566,04;0
832010420;501,93;1
832010520;544,555;1
832010620;491,18;0
832010720;668,2;0
832010820;550,905;0
832010920;438,335;0
832011020;552,51;2
832011120;504,46;0
832011220;486,615;0
832011321;446,765;0
832011421;523,48;1
832011521;494,74;0
832011621;485,075;1
832011721;819,965;0
832011821;553,92;1
832011921;436,775;0
832012021;438,99;2
832012121;438,54;0
832012220;429,55;0
832012320;493,235;1
832012420;697,125;0
832012520;418,285;0
832012620;491,965;0
832012720;493,775;0
832012820;479,455;0
832012920;488,165;0
832013020;434,675;1
832013120;675,55;0
832013220;433,685;0
832013320;437,405;0
832013420;398,22;0
832013520;401,38;1
832013620;438,435;0
832013720;423,555;0
832013820;655,81;0
832013920;444,095;0
832014020;489,56;0
832014120;492,285;0
832014620;487,155;0
832014720;420,815;0
832014820;428,53;0
832014920;441,005;0
832015020;434,04;1
832015120;485,69;0
832015220;722,705;0
832015320;550,68;0
832015420;544,97;0
832015520;491,36;0
832015620;501,77;0
832015920;554,66;0
832016020;504,685;2
832016120;548,715;0
832016220;842,56;1
832016320;672,375;2
832016420;683,475;1
832016520;683,425;0
832016620;682,42;1
832016720;841,775;1
832016820;944,87;0
832016920;937,085;2
832017020;845,375;0
832017120;846,12;1
832017220;673,065;3
832017320;877,295;2
832017420;680,66;0
832017520;1047,39;4
832017620;1085,185;2
832017720;542,91;0
832017820;442,945;0
832017920;472,04;0
832018020;445,245;0
832018120;434,11;0
832018220;440,97;0
832018320;314,145;0
832018420;368,84;0
832018520;362,07;0
832018620;432,26;0
832018720;393,75;0
832018820;382,72;0
832018920;368,905;1
832019020;322,53;1
832019120;448,68;0
832019421;1226,36;0
832019521;1531,625;0
832019621;836,37;0
832019721;827,99;1
832019821;819,505;0
832019921;825,95;0
832020021;966,92;0
832020121;588,115;0
832020221;582,55;0
832020321;967,645;0
832020421;1463,155;0
832020521;671,215;0
832020621;668,495;0
832020721;667,845;0
832020821;661,665;1
832020921;1100,755;0
832021021;1000,915;1
832021121;671,79;0
832021221;1102,365;0
832021321;990,965;0
832021421;825,235;1
832021521;689,335;0
832021621;783,96;0
832021721;817,06;0
832021821;817,04;0
832021921;821,1;0
832022021;827,985;0
832022121;649,32;0
832022221;646;0
832022321;652,37;0
832022421;646,34;0
832041222;825,12;0
832041322;1494,245;2
832041422;642,046;2
832041522;512,855;1
832041622;463,275;0
832041722;610,97;0
832041822;949,815;0
832041922;951,465;0
832042022;812,175;0
832042122;1059,66;1
832042222;991,24;2
833047922;634,61;0
833048022;657;0
833048122;689,625;0
833052122;600,91;0
833052222;777,63;0
833052322;607,415;1
833052422;605,115;0
833052522;774,17;1
833052622;606,88;0
833053026;895,87;0
833053126;809,39;0
833053226;706,48;0
833053326;710,355;0
833053426;715,205;0
833053526;716,375;0
833053626;809,53;0
833053726;896,665;0
833053826;867,065;0
833054026;845,975;0
833054126;836,61;0
833054226;861,265;0
833054326;849,735;2
833054426;835,79;0
833054726;892,76;1
833054926;951,9;0
833055026;841,505;0
833055126;846,28;0
833055226;840,57;1
833055326;848,595;0
833055426;858,29;1
833055526;839,01;1
833055626;896,165;1
833055726;891,6;2
833055826;993,97;0
833055926;1014,945;1
833056026;959,13;2
833056126;1041,72;2
833056226;1042,685;1
833056426;928,31;0
833056526;973,575;0
833073127;604,89;1
833073227;651,18;0
833073327;698,15;0
833073427;641,14;0
833073527;661,49;0
833073627;697,195;1
833073727;663,14;0
833073827;648,58;0
833073927;643,785;1
833074027;643,145;1
833074127;977,73;0
833074227;651,81;0
833074527;681,715;2
833074627;722,54;1
833074727;676,38;0
833074827;673,155;1
833074927;666,9;0
833075427;643,02;0
833075527;620,17;0
833075627;639,53;1
833077128;656,365;0
833077228;749,07;1
833077628;754,415;1
833077728;634,945;0
833079628;699,835;1
833079728;851,18;0
833079828;854,88;0
833079928;891,36;0
833080227;884,66;2
833081028;671,885;0
833081128;819,23;1
833081228;823,165;0
833081328;821,76;2
833081528;636,595;0
833081628;800,755;0
833081728;802,05;0
833083828;642,755;0
833083928;804,05;0
833084028;805,68;0
833084128;651,685;0
833084228;645,29;0
833084328;699,74;0
833084428;655,3;0
833084528;666,09;2
833084628;698,54;0
833084728;656,96;1
833084828;794,7;0
833084928;776,6;0
833085028;775,82;0
833085128;780,68;0
833085228;780,82;0
833087728;1757,305;1
833092728;639,91;0
833092828;813,505;0
833092928;818,125;0
833093028;653,01;1
833093228;675,775;0
833093328;684,385;1
833093428;664,458;0
833093528;686,08;0
833094228;660,56;2
833094328;683,385;0
833094428;667,06;0
833094528;690,415;2
833094628;665,96;0
833095728;678,08;0
833095828;667,28;0
833096128;607,84;0
833096228;778,12;3
833096328;605,37;0
834048226;718,26;0
834048326;687,82;0
834048426;648,475;1
834048526;649,32;1
834048626;716,8;0
834048726;637,56;0
834048826;642,305;2
834048926;664,09;1
834049226;711,145;1
834049326;939,79;3
834049426;809;0
834049526;826,665;0
834049626;816,84;0
834049826;614,275;2
834049926;786,855;3
834050026;609,845;0
834050126;606,46;1
834050226;781,38;0
834050326;613,74;2
834050426;648,7;1
834050526;780,645;1
834050626;609,445;0
834050726;604,025;2
834050826;781,94;1
834050926;608,71;1
834051026;614,135;0
834051126;785,965;1
834051226;609,185;0
834051426;1122,38;1
834051626;1118,085;2
834056921;718,855;0
834057121;778,38;1
834057221;628,435;0
834057321;767,4;0
834057421;713,63;0
834058825;872,89;0
834058925;839,24;0
834059925;684,97;1
834060025;751,09;0
834060125;826,57;2
834060525;655,53;1
834060625;783,06;0
834060725;725,155;0
834060825;762,29;0
834060925;770,075;0
834061325;678,295;0
834061425;681,29;1
834061525;870,72;2
834061625;845,4;0
834061725;855,8;0
834062027;854;0
834062127;872,65;0
834062227;876,31;0
834062327;662,365;0
834062427;662,24;0
834062527;652,385;0
834062627;913,575;0
834062727;733,62;1
834062827;742,09;1
834062927;718,965;1
834063027;697,43;0
834063127;854,22;0
834063227;741,69;0
834063627;746,79;0
834063727;722,225;0
834063827;731,835;1
834063925;637,39;1
834064025;646,3;1
834064125;636,7;0
834064225;683,13;0
834064325;671,09;0
834064425;666,985;0
834064525;654,046;0
834064625;646,665;0
834064725;649,09;0
834064825;651,755;0
834064925;639,51;0
834065025;795,125;0
834065125;660,2;0
834065225;647,24;0
834065325;634,35;0
834065425;1518,45;0
834065525;819,31;0
834065625;838,885;1
834065725;853,95;2
834065825;805,99;0
834065925;665,985;0
834066025;665,23;0
834066125;672,3;0
834066225;666,04;0
834082528;847,485;2
834082628;841,115;1
834082728;843,18;1
834082828;836,895;1
834082928;1032,71;2
834083028;651,78;0
834083128;690,035;0
834083228;657,65;0
834091328;674,55;0
834091428;706,06;1
834091528;663,675;1
834091628;628,57;0
834091728;794,71;1
834091828;618,14;1
834097329;666,93;0
834097429;725,12;0
834097529;668,44;0
834098627;545,875;0
834098727;748,555;0
834098827;554,895;1
834101129;691,655;1
834101229;707,41;0
834101329;671,68;0
834105429;1036,735;0
834105529;1099,76;1
834105629;1027,315;0
835059125;700,49;0
835059225;704,35;0
835059325;708,94;0
835059425;695,42;0
835059525;693,51;0
835059625;1150,735;0
835059725;242,335;0
835059825;364,115;0
835066327;488,2;1
835066427;693,64;2
835066527;641,23;0
835066627;734,17;0
835066727;656,47;0
835066827;649,415;1
835066927;651,21;0
835067027;660,34;0
835067127;653,91;0
835067227;1094,05;0
835067327;1003,46;1
835067427;1010,01;0
835067527;641,01;0
835067627;652,24;1
835067727;668;0
835067827;647,81;0
835067927;677,435;0
835068027;721,43;1
835068127;714,165;0
835068227;727,395;1
835068327;649,49;3
835068427;607,92;0
835069025;856,065;0
835069125;837,79;0
835069225;890,525;0
835069325;677,455;1
835069425;642,35;0
835069525;642,34;0
835069625;645,055;0
835070025;654,025;0
835070125;692,295;0
835070225;652,015;0
835070325;749,235;0
835070625;928,12;0
835070725;793,395;2
835070825;920,958;0
835070925;670,305;0
835071025;694,42;0
835071125;737,54;1
835071927;653,16;2
835072027;691,89;2
835072127;651,04;0
835072227;523,05;0
835072327;646,04;0
835072427;495,71;0
835074329;84,99;0
835074429;82,495;0
835075029;79,925;0
835075329;80,23;0
835078028;642,99;0
835078128;657,645;0
835078228;605,065;0
835078525;747,445;1
835078625;651,3;1
835078825;640,24;0
835078925;643,56;0
835079025;639,455;0
835103529;556,13;0
835103629;693,745;0
835103729;683,28;0
835103829;558,46;0
835103929;580,02;1
835104029;696,275;0
835104129;710,55;1
835104229;556,705;2
835111629;695,825;0
835111729;739,98;1
835111829;697,545;0
835111929;737,175;0
835112029;687,795;0
835112129;740,755;1
835112529;1109,13;2
835114129;1402,97;1
835114229;1277,82;0
835114329;1401,91;0
835131829;6133,42;5
835132029;2271,89;1
835132129;2349,91;1
835153529;1718,315;0
835153629;2279,33;0
835154029;1745,435;1
835154129;2311,39;0
835154629;2318,24;1
835157429;2362,445;0
835158729;1930,99;0
835158829;1928,525;1
835973129;79,39;0
835973229;70,8;0
835973629;80,28;0
835973929;79,275;0
835974129;85,565;0
835974529;80,175;0
835974629;80,7;0
835974929;79,79;0
836070533;394,04;1
836070633;387,2;4
836070733;389,17;2
836070833;394,12;2
836070933;559,17;4
836071033;499,05;1
836071133;488,07;2
836071233;559,995;3
836071333;492,96;3
836071433;486,9;2
836071533;553,715;3
836071633;582,995;3
836071733;580,535;4
836071833;512,85;3
836071933;505,64;1
836072033;565,43;6
836072133;496,935;2
836072233;505,19;0
836072333;432,985;3
836072433;786,53;6
836072533;526,055;6
836072633;520,835;6
836072733;532,875;5
836072833;535,505;6
836072933;703,51;4
836073034;294,28;3
836073134;298,8;3
836073234;300,67;1
836073334;402,485;1
836073434;409,715;1
836073534;408,16;7
836073634;410,14;6
836073734;309,12;6
836073834;306,12;6
836073934;303,12;6
836074034;394,22;6
836074134;391,22;6
836074234;401,95;8
836074334;410,16;6
836074434;400,04;0
836074534;412,16;6
836074634;410,63;5
836074734;406,895;2
836075134;413,77;6
836075234;398,16;6
836075334;399,16;3
836075434;413,16;6
836075534;413,67;8
836075634;412,16;7
836075734;398,16;6
836075834;403,17;5
836075934;401,71;4
836076034;411,25;5
836076134;398,67;6
836076234;409,66;6
836076334;397,89;8
836076434;406,82;4
836076534;409,16;2
836076634;410,16;4
836076734;395,16;2
836076834;420,16;4
836076934;415,05;7
836077034;413,16;3
836077134;399,51;3
836077234;390,54;0
836077334;384,97;2
836077434;391,93;4
836077534;394,33;1
836077634;384,68;2
836077734;390,77;4
836077834;388,91;4
836077934;391,05;5
836078034;393,06;3
836078134;401,16;5
836078234;404,06;3
836078334;398,665;0
836078434;402,42;3
836078534;409,37;4
836078634;409,92;4
836078734;399,35;2
836078834;401,085;4
836078934;401,125;2
836079034;394,3;2
836079134;413,95;2
836079234;410,24;4
836079334;401,68;4
836079434;411,79;5
836079534;401,16;1
836079633;1346,01;6
836079733;1228,43;2
836079833;1320,455;7
836081133;1344,195;7
836081233;1246,355;6
836081333;1321,265;4
836081835;1408,2;0
836081935;1504,8;3
836082035;1424,385;3
836082135;462,15;6
836082235;446,23;4
836082335;465,58;3
836082435;453,36;3
836082535;446,72;5
836082635;454,975;2
836082735;461,43;4
836082835;444,725;3
836082935;445,995;2
836083035;461,85;7
836083135;448,25;5
836083235;452,77;6
836083335;446;0
836083435;431,24;2
836083535;454,2;1
836083635;455,135;4
836083735;439,935;2
836083835;453,435;3
836083935;447,82;8
836084035;431,9;3
836084135;449,465;2
836084235;464,42;3
836084335;442,75;6
836084435;464,61;2
836084535;448,63;3
836084635;452,3;5
836084735;469,535;3
836084835;458,22;2
836084935;436,49;2
836085035;461,52;1
836085535;339,84;3
836085635;390,445;2
836085735;373,395;1
836085835;349,78;1
836085935;363,6;1
836086035;382,975;0
836086235;395,615;3
836086335;398,42;3
836086435;344,12;1
836086535;386,41;3
836086635;392,07;1
836086735;521,34;4
836088735;505,07;3
836088835;574,26;2
836088935;518,12;5
836089035;445,32;3
836089135;643,75;7
836089235;645,255;5
836107033;522,925;1
836107133;533,155;0
836107533;612,75;1
836107635;456,34;0
836107735;433,6;0
836107835;454,99;0
836107935;434,59;0
836108035;439,16;0
836108135;444,24;0
836108235;336,8365;0
836108335;349,57;1
836108435;340,3;1
836907633;592,28;0
836907733;585,98;1
837010330;61,2;0
837010430;66,2;0
837026030;953,71;1
837026130;960,93;0
837026430;2262,63;2
837026930;1977,54;2
837027030;1119,745;0
837027430;1127,15;1
837027530;1977,895;0
837028130;1465,52;0
837028230;1451,86;0
837028330;2249,34;1
837029030;2275,95;1
837029930;2253,635;1
837060335;1053,13;1
837060435;1071,1;2
837060535;1021,1;1
837060635;1022,935;0
837060935;1028,395;4
837061035;1020,23;1
837061134;1041,94;3
837061234;1084,195;1
837061434;679,51;2
837061534;1021,45;3
837061634;680,05;2
837062033;241,265;0
837062133;429,21;3
837062233;439,01;2
837062333;443,36;4
837062433;436,215;5
837062533;436,48;1
837062633;456,07;3
837062733;439,41;0
837062833;436,365;1
837062933;455,89;2
837063033;441,96;4
837063133;447,89;4
837063233;457,145;3
837063333;428,225;4
837063433;438,195;3
837063533;441,3;4
837063633;431,825;6
837063733;470,98;4
837063833;444,91;5
837063933;429,59;6
837064033;446,33;5
837064133;449,56;1
837064234;449,925;3
837064334;423,22;4
837064434;430,91;2
837064534;447,71;1
837064634;439,115;0
837064734;420,805;3
837064834;433,01;5
837064934;418,755;3
837065034;442,685;4
837065134;442,435;3
837065234;447,845;4
837065334;445,3;4
837065434;428,175;5
837065534;434,295;4
837065634;427,75;3
837065734;427,67;4
837065834;445,24;4
837065934;428,63;6
837066034;415,6;2
837066134;428,005;2
837066234;451,38;2
837066334;334,55;2
837066434;441,945;4
837066534;436,19;3
837066634;339,05;1
837066734;427,825;3
837066834;327,2;3
837066933;241,84;1
837067033;417,515;5
837067133;332,1;1
837067233;426,585;4
837067333;310,33;1
837067433;302,01;2
837067533;303,785;0
837067633;293,405;0
837067733;293,42;1
837067833;286,15;4
837067933;294,27;2
837068033;304,085;0
837068233;286,8;1
837068333;294,12;1
837068433;297,88;0
837068533;297,54;0
837068633;309,825;3
837068733;289,71;0
837068833;307,82;3
837068933;239,93;4
837069033;291,6;5
837069133;296,645;1
837069233;293,32;1
837069733;292,885;0
837069833;286,72;2
837069933;289,78;0
837070033;292,415;0
837079933;1084,07;6
837080033;775,965;2
837080133;699,82;4
837080233;386,625;3
837080333;390,21;1
837080433;635,295;3
837080533;478,31;3
837080633;385,195;1
837080733;396,665;3
837080833;655,34;3
837080933;923,85;3
837081033;1110,96;0
837091835;222,38;1
837092435;220,9;1
837093735;69,51;0
837093935;222,92;0
837097035;86,49;0
837097335;86,49;0
837097435;86,49;0
837098835;222,92;0
837099635;221,33;0
837101535;222,92;0
837101635;221,41;0
837101735;222,64;2
837102535;79,74;0
837102635;85,74;0
837102735;85,74;0
837102835;85,74;0
837103735;61,83;0
837103935;61,83;0
837104035;69,51;0
837104135;69,51;0
837104235;61,83;0
837104335;69,51;0
837104435;69,51;0
837104635;61,83;0
837104735;61,83;0
837104835;61,83;0
837104935;61,83;0
837105035;56,56;0
837105135;69,51;0
837105235;69,51;0
837105635;61,83;0
837105735;61,83;0
837105835;61,83;0
837105935;61,83;0
837106135;69,51;0
837108535;223,36;1
837108635;61,83;0
837108735;69,51;0
837108835;61,83;0
837108935;61,83;0
838008536;91;0
838010336;210,94;0
838010436;216,45;0
838042932;75,06;0
838043032;57,84;0
838043332;53,96;0
838043632;87,31;0
838043832;53,96;0
838043932;53,96;0
838044032;103,22;0
838044332;77,41;0
838044932;81,79;0
838045132;64,7;0
838045532;76,81;0
838046132;89,86;0
838046632;113,835;0
838047132;98,9;0
838047232;67,96;0
838047332;112,61;0
838047532;102,36;0
838047732;95,525;0
838047832;53,96;0
838048032;88,21;0
838048132;92,305;0
838048232;53,96;0
838048532;86,84;0
838048832;72,15;0
838049032;41,37;1
838049332;76,81;0
838049432;76,81;0
838049632;58,56;0
838049732;60,17;0
838050032;82,69;0
838050432;53,96;0
838050732;63,82;0
838050832;53,96;0
838051236;421,592;8
838051436;419,54;4
838051636;408,98;5
838051736;364,14;1
838051836;337,76;1
838051936;409,812;1
838052036;473,09;1
838052136;443,42;3
838052636;294;1
838052736;298,61;0
838052836;272,915;0
838052936;274,92;0
838053936;386,57;0
838054236;406,98;4
838063630;319,23;1
838063730;305,16;2
838063830;256,22;2
838063930;295,34;1
838064030;245,71;0
838064130;244,88;0
838064230;244,08;1
838064330;243,2;1
838064430;244,08;0
838064530;256,135;0
838064630;246,53;1
838065436;344,6;1
838065536;339,38;0
838066936;371,52;0
838067036;378,7;0
838067136;407,43;1
838067236;410,6;3
838067336;404,645;2
838067436;346,59;0
838067536;327,37;1
838067636;377,15;0
838068936;390,38;0
838069036;348,93;0
838069132;289,8;1
838069232;289,17;0
838069332;289,8;0
838069432;288,17;1
838069532;300,645;1
838069632;293,95;1
838069732;296,91;0
838069832;297,98;1
838069932;298,86;0
838070032;306,325;0
838070132;303,115;0
838070232;295,57;0
838070332;308,04;0
838070432;302,645;0
838070532;296,835;1
838070632;300,41;0
838070732;308,54;0
838070832;301,61;1
838070932;292,405;0
838071032;301,39;0
838071132;287,79;0
838071232;285,61;1
838071332;286,255;2
838071432;290,15;1
838071836;427,91;4
838071936;438,185;5
838072036;449,865;2
838072136;425,075;4
838072236;429,59;3
838072336;452,185;5
838072436;440,94;3
838072536;454,635;6
838072636;458,2;5
838072736;434,95;2
838072836;454,03;1
838072936;445,855;5
838073036;421,19;3
838073136;431,26;3
838073236;434,34;2
838073336;420,63;0
838073436;428,53;4
838073536;453,165;3
838073636;427,68;3
838073736;437,85;3
838073836;426,78;4
838073936;426,41;6
838074036;438,29;2
838074136;445,905;3
838074236;427,48;4
838074336;436,39;2
838074436;442,6;2
838074536;423,37;2
838074636;433,64;4
838074736;450,14;4
838080936;322,485;1
838084036;513,875;2
838084136;513,57;2
838084236;491,84;2
838084336;518,21;2
838084436;544,4;1
838084536;492,03;0
838084636;487,645;1
838084736;478,245;1
838085036;287,34;1
838085436;427,24;5
838085536;367,49;2
838085636;450,68;6
838085736;457,17;4
838085836;443,22;2
838085936;426,79;4
838086036;342,75;4
838086236;451,62;4
838086336;427,48;4
838086436;445,3;6
838086536;433,58;4
838086636;439,84;6
838086736;378,22;2
838086836;448,48;6
838086936;447,565;6
838087036;457,18;6
838087136;433,28;4
838087236;447,66;3
838089836;352,08;5
838089936;452,48;5
838091136;823,075;0
838091236;796,34;0
838091336;911,23;1
838091436;746,92;1
838121236;2232,78;2
838121336;2185,415;4
838121436;2208,625;16
860015444;887,53;1
860041144;1301,14;1
860042244;1203,045;1
860048244;1247,96;1
860048744;1280,39;0
860051840;290,62;0
860101544;627,355;6
860106040;594,085;0
860106140;583,42;1
860106940;512,65;1
860107840;333,02;0
860107940;506,615;0
860108140;316,935;0
860108540;520,835;0
860108840;467,08;0
860108940;747,995;0
860109140;522,055;0
860111440;618,41;0
860111540;1006,265;1
860111745;481,52;0
860112240;734,045;0
860112840;374,675;0
860112940;387,76;0
860113240;482,145;0
860113340;473,135;0
860113440;479,885;0
860113640;550,145;0
860113740;488,585;0
860113840;475,15;0
